Transaction_ID,Date,Country,Product_ID,Product_Name,Category,Price_per_Unit,Quantity_Purchased,Cost_Price,Discount_Applied,Payment_Method,Customer_Age_Group,Customer_Gender,Store_Location,Sales_Rep
TCA00001,2018-11-16,Canada,P004,Shoes,Fashion,754.52,4.0,2112.66,48.56,Credit Card,18-25,Male,Johannesburg,Emily Davis
TCA00002,2020-11-16,Canada,P005,Watch,Fashion,141.72,8.0,793.63,6.87,Bank Transfer,46-55,Male,Cape Town,Emily Davis
TCA00003,2023-01-27,Canada,P003,TV,Electronics,835.85,8.0,4680.76,23.74,Cash,46-55,Female,Durban,Emily Davis
TCA00004,2024-03-14,,P006,Bag,Fashion,1255.75,9.0,7911.22,49.21,Mobile Money,26-35,Male,Nairobi,Jane Smith
TCA00005,2023-11-18,Canada,P005,Watch,Fashion,1242.34,1.0,869.64,24.18,Credit Card,46-55,Male,Cape Town,John Doe
TCA00006,2024-06-07,Canada,P002,Phone,Electronics,1539.9,1.0,1077.93,33.08,Bank Transfer,36-45,Female,Johannesburg,Robert Brown
TCA00007,2024-04-24,Canada,,Shoes,Fashion,809.71,1.0,566.8,,Cash,18-25,Female,Johannesburg,Jane Smith
TCA00008,2024-05-23,Canada,P001,Laptop,Electronics,854.13,5.0,2989.45,7.78,Mobile Money,36-45,Male,Cape Town,Emily Davis
TCA00009,2020-10-15,Canada,P004,Shoes,Fashion,1205.97,9.0,7597.61,46.03,Credit Card,46-55,Female,Durban,John Doe
TCA00010,2019-07-07,Canada,P004,Shoes,Fashion,1694.35,4.0,4744.18,44.87,Bank Transfer,56+,Male,Johannesburg,Jane Smith
TCA00011,2022-12-13,Canada,P004,Shoes,Fashion,970.95,4.0,,32.81,Mobile Money,56+,Male,Cape Town,Jane Smith
TCA00012,2019-01-07,Canada,P004,Shoes,Fashion,1858.41,9.0,11707.98,23.16,Bank Transfer,56+,Female,Cape Town,Robert Brown
TCA00013,2022-06-30,Canada,P002,Phone,Electronics,1363.65,7.0,6681.89,36.53,Bank Transfer,36-45,Male,Nairobi,Jane Smith
TCA00014,2017-12-23,Canada,P003,TV,Electronics,672.28,8.0,3764.77,2.76,Bank Transfer,26-35,Female,Mombasa,John Doe
TCA00015,2024-09-24,Canada,P006,Bag,Fashion,438.72,8.0,2456.83,48.55,Credit Card,46-55,Female,Durban,Robert Brown
TCA00016,2022-11-23,Canada,P006,Bag,Fashion,928.26,6.0,3898.69,30.5,Cash,46-55,,Cape Town,Jane Smith
TCA00017,2019-10-25,Canada,P001,Laptop,Electronics,109.44,7.0,536.26,32.5,Cash,18-25,Male,Mombasa,Robert Brown
TCA00018,2018-01-09,Canada,P006,Bag,Fashion,180.94,6.0,759.95,8.07,Cash,18-25,Female,Nairobi,Robert Brown
TCA00019,2015-07-11,Canada,P005,Watch,Fashion,132.59,7.0,649.69,23.36,Mobile Money,26-35,Female,Mombasa,John Doe
TCA00020,2016-08-18,Canada,P003,TV,Electronics,621.88,10.0,4353.16,15.54,Bank Transfer,56+,Female,Durban,Robert Brown
TCA00021,2022-07-11,Canada,P004,Shoes,Fashion,712.53,1.0,498.77,2.72,Mobile Money,36-45,Female,Mombasa,Jane Smith
TCA00022,2024-07-31,Canada,P001,Laptop,Electronics,1150.3,4.0,3220.84,47.32,Mobile Money,36-45,Male,Cape Town,Emily Davis
TCA00023,2019-12-09,Canada,P001,Laptop,Electronics,648.58,8.0,3632.05,5.2,Bank Transfer,26-35,Male,Johannesburg,Robert Brown
TCA00024,2021-11-11,Canada,P003,TV,Electronics,1192.35,6.0,5007.87,11.58,Cash,18-25,Female,Durban,John Doe
TCA00025,2018-04-13,Canada,P004,Shoes,Fashion,903.75,6.0,3795.75,7.12,Credit Card,36-45,Male,Nairobi,John Doe
TCA00026,2015-01-21,Canada,P004,Shoes,Fashion,1943.97,3.0,4082.34,16.09,Bank Transfer,46-55,Female,Johannesburg,Emily Davis
TCA00027,2017-09-19,Canada,P003,TV,Electronics,1215.64,1.0,850.95,16.49,Bank Transfer,56+,Male,,Jane Smith
TCA00028,2018-10-08,Canada,P002,Phone,Electronics,1068.7,7.0,5236.63,3.97,Bank Transfer,36-45,Male,Cape Town,Robert Brown
TCA00029,2022-05-14,Canada,P004,Shoes,Fashion,1582.93,10.0,11080.51,40.27,Cash,46-55,Female,Durban,Jane Smith
TCA00030,2024-05-09,Canada,P005,Watch,Fashion,589.36,6.0,2475.31,3.01,Mobile Money,56+,Female,Mombasa,John Doe
TCA00031,2022-01-31,Canada,P006,Bag,Fashion,562.17,9.0,3541.67,10.3,Mobile Money,36-45,Female,Nairobi,Emily Davis
TCA00032,2022-03-11,Canada,P001,Laptop,Electronics,834.18,9.0,5255.33,16.07,Bank Transfer,46-55,Male,Cape Town,Emily Davis
TCA00033,2023-06-13,Canada,P002,Phone,Electronics,1018.16,10.0,7127.12,5.21,Cash,46-55,Male,Durban,Jane Smith
TCA00034,2020-01-18,Canada,P005,Watch,Fashion,384.52,1.0,269.16,18.76,Cash,18-25,Male,Durban,Robert Brown
TCA00035,2018-10-21,Canada,P005,Watch,Fashion,46.43,3.0,97.5,44.96,Cash,56+,Female,Cape Town,John Doe
TCA00036,2018-09-30,Canada,P003,TV,Electronics,1033.65,7.0,5064.89,37.36,Cash,56+,Male,Cape Town,John Doe
TCA00037,2022-04-05,Canada,P004,Shoes,Fashion,1023.62,7.0,5015.74,32.3,Cash,18-25,Male,Nairobi,Emily Davis
TCA00038,2020-04-28,Canada,P005,Watch,Fashion,1604.38,9.0,10107.59,32.37,Bank Transfer,46-55,Male,Durban,Robert Brown
TCA00039,2015-01-06,Canada,P003,TV,Electronics,1063.67,3.0,2233.71,45.05,Mobile Money,36-45,Female,Nairobi,Emily Davis
TCA00040,2018-11-09,Canada,P003,TV,Electronics,969.51,8.0,5429.26,47.33,Credit Card,36-45,Male,Durban,Emily Davis
TCA00041,2015-02-13,Canada,P004,Shoes,Fashion,1033.98,7.0,5066.5,45.13,Mobile Money,46-55,Female,Nairobi,John Doe
TCA00042,2024-11-20,Canada,P003,,Electronics,994.64,8.0,5569.98,16.73,Cash,46-55,Female,Durban,Robert Brown
TCA00043,2018-10-17,Canada,P006,Bag,Fashion,1791.73,5.0,6271.05,38.95,Mobile Money,46-55,Female,Nairobi,Robert Brown
TCA00044,2021-07-28,Canada,,Laptop,Electronics,824.1,7.0,4038.09,47.76,Bank Transfer,36-45,Female,Johannesburg,John Doe
TCA00045,2017-03-03,Canada,P003,TV,Electronics,260.57,7.0,1276.79,3.33,Bank Transfer,36-45,Male,Cape Town,Emily Davis
TCA00046,2016-10-19,Canada,P005,Watch,Fashion,987.41,6.0,4147.12,14.75,Bank Transfer,46-55,Male,Mombasa,Robert Brown
TCA00047,2017-02-02,Canada,P006,Bag,Fashion,495.65,9.0,3122.59,47.96,Credit Card,36-45,Female,Johannesburg,Robert Brown
TCA00048,2016-07-26,Canada,P005,Watch,Fashion,1825.65,9.0,11501.6,44.48,Mobile Money,26-35,Male,Durban,Emily Davis
TCA00049,2015-03-03,Canada,P006,Bag,Fashion,945.97,4.0,2648.72,29.86,Mobile Money,26-35,Male,Mombasa,John Doe
TCA00050,2020-11-16,Canada,P001,Laptop,Electronics,598.5,8.0,3351.6,20.21,Mobile Money,36-45,Male,Durban,Robert Brown
TCA00051,2022-08-08,Canada,P001,Laptop,Electronics,1412.02,5.0,4942.07,22.4,Cash,46-55,Male,Cape Town,John Doe
TCA00052,2024-11-07,Canada,P004,Shoes,Fashion,608.42,8.0,3407.15,38.72,Cash,26-35,Female,Mombasa,Jane Smith
TCA00053,2024-11-19,Canada,P002,Phone,Electronics,1646.36,6.0,6914.71,13.57,Mobile Money,36-45,Male,Nairobi,Jane Smith
TCA00054,,Canada,P001,Laptop,Electronics,488.57,4.0,1368.0,46.03,Cash,36-45,Male,Mombasa,Jane Smith
TCA00055,2018-11-14,Canada,P002,Phone,Electronics,18.98,5.0,66.43,27.58,Bank Transfer,46-55,Female,Cape Town,Jane Smith
TCA00056,2018-05-02,Canada,P003,TV,Electronics,1119.4,1.0,783.58,2.28,Cash,26-35,Male,Mombasa,
TCA00057,2019-06-19,Canada,P004,Shoes,Fashion,1801.26,4.0,5043.53,31.94,Bank Transfer,56+,Male,Mombasa,Emily Davis
TCA00058,2016-09-30,Canada,P005,Watch,Fashion,1016.55,3.0,2134.75,12.78,Bank Transfer,56+,Male,Johannesburg,John Doe
