Transaction_ID,Date,Country,Product_ID,Product_Name,Category,Price_per_Unit,Quantity_Purchased,Cost_Price,Discount_Applied,Payment_Method,Customer_Age_Group,Customer_Gender,Store_Location,Sales_Rep
TCH00001,2019-03-03,China,P005,Watch,Fashion,1469.98,7.0,7202.9,29.7,Bank Transfer,36-45,Female,Mombasa,John Doe
TCH00002,2017-09-07,China,P002,Phone,Electronics,974.07,8.0,5454.79,41.59,Bank Transfer,36-45,Female,Mombasa,Jane Smith
TCH00003,2016-03-29,China,P002,Phone,Electronics,878.94,8.0,4922.06,16.33,Mobile Money,26-35,Male,Cape Town,Jane Smith
TCH00004,2015-11-09,China,P004,Shoes,Fashion,982.27,3.0,2062.77,11.62,Credit Card,36-45,Female,Nairobi,John Doe
TCH00005,2015-08-04,China,P001,Laptop,Electronics,19.05,1.0,13.33,18.51,Credit Card,46-55,Male,Nairobi,Emily Davis
TCH00006,2016-07-17,China,P001,Laptop,Electronics,1339.55,7.0,6563.8,22.46,Bank Transfer,46-55,Female,Mombasa,John Doe
TCH00007,2017-08-02,China,P001,Laptop,Electronics,1498.16,3.0,3146.14,27.94,,18-25,Male,Johannesburg,Jane Smith
TCH00008,2017-08-01,China,P001,Laptop,Electronics,1505.06,8.0,8428.34,12.04,Cash,36-45,Female,Nairobi,Robert Brown
TCH00009,2017-08-30,China,P006,Bag,Fashion,25.37,2.0,35.52,11.7,Mobile Money,46-55,Female,Durban,Robert Brown
TCH00010,2024-02-28,China,P006,Bag,Fashion,228.91,1.0,160.24,5.14,Mobile Money,18-25,Male,Nairobi,Robert Brown
TCH00011,2022-07-18,China,P003,TV,Electronics,680.25,6.0,2857.05,30.76,Cash,46-55,Female,Johannesburg,Emily Davis
TCH00012,2024-05-12,China,P004,Shoes,Fashion,1641.08,4.0,4595.02,12.75,Mobile Money,36-45,Female,Durban,Emily Davis
TCH00013,2020-03-17,China,P005,Watch,Fashion,1976.78,1.0,1383.75,1.48,Bank Transfer,46-55,Male,Johannesburg,John Doe
TCH00014,2024-10-04,China,P005,Watch,Fashion,950.15,7.0,4655.73,14.76,Credit Card,36-45,Female,Nairobi,Robert Brown
TCH00015,2022-08-11,China,P004,Shoes,Fashion,449.6,4.0,1258.88,47.86,Credit Card,18-25,Male,Mombasa,Jane Smith
TCH00016,2015-05-21,China,P002,Phone,Electronics,1641.64,5.0,5745.74,22.8,Mobile Money,26-35,Male,Johannesburg,John Doe
TCH00017,2019-12-21,China,P003,TV,Electronics,807.62,7.0,3957.34,33.32,Cash,56+,Female,Mombasa,Emily Davis
TCH00018,2020-01-03,China,P005,Watch,Fashion,1236.96,8.0,6926.98,7.7,Bank Transfer,26-35,Female,Durban,Robert Brown
TCH00019,2022-06-14,China,P006,Bag,Fashion,1947.16,9.0,12267.11,17.89,Mobile Money,36-45,Male,Cape Town,Jane Smith
TCH00020,2020-11-09,China,P006,Bag,Fashion,1159.17,3.0,2434.26,,Credit Card,56+,Female,Johannesburg,Robert Brown
TCH00021,2022-01-04,China,P001,Laptop,Electronics,214.02,2.0,299.63,2.97,Credit Card,56+,Female,Nairobi,Jane Smith
TCH00022,2023-07-26,China,P003,TV,Electronics,1683.07,8.0,9425.19,34.07,Bank Transfer,26-35,,Mombasa,Robert Brown
TCH00023,2015-12-26,China,P002,Phone,Electronics,1949.66,10.0,13647.62,0.49,Mobile Money,26-35,Female,Cape Town,John Doe
TCH00024,2018-02-02,China,P005,Watch,Fashion,189.57,4.0,530.8,3.88,Bank Transfer,56+,Female,Mombasa,John Doe
TCH00025,2022-02-09,China,P003,TV,Electronics,471.65,2.0,660.31,33.02,Mobile Money,46-55,Male,Nairobi,John Doe
TCH00026,2019-02-01,China,P001,Laptop,Electronics,716.73,5.0,2508.55,9.23,Credit Card,56+,Male,Durban,John Doe
