Transaction_ID,Date,Country,Product_ID,Product_Name,Category,Price_per_Unit,Quantity_Purchased,Cost_Price,Discount_Applied,Payment_Method,Customer_Age_Group,Customer_Gender,Store_Location,Sales_Rep
TIN00001,2019-04-03,India,P002,Phone,Electronics,554.3,2.0,776.02,22.15,Credit Card,36-45,Male,Johannesburg,Emily Davis
TIN00002,2017-07-14,India,P006,Bag,Fashion,344.3,8.0,1928.08,46.23,Bank Transfer,46-55,Male,Durban,Robert Brown
TIN00003,2019-11-23,India,P005,Watch,Fashion,1103.96,1.0,772.77,9.64,Mobile Money,56+,Female,Cape Town,Robert Brown
TIN00004,2016-04-09,India,P006,Bag,Fashion,1740.54,10.0,12183.78,17.31,Bank Transfer,26-35,Female,Nairobi,Robert Brown
TIN00005,2023-06-24,India,P001,Laptop,Electronics,1843.65,7.0,9033.89,30.17,Mobile Money,46-55,Female,Johannesburg,John Doe
TIN00006,2024-07-05,India,P001,Laptop,Electronics,1939.61,4.0,5430.91,25.82,Cash,18-25,Female,Cape Town,Robert Brown
TIN00007,2020-05-22,India,P006,Bag,Fashion,1847.45,6.0,7759.29,10.18,Bank Transfer,26-35,Female,Cape Town,
TIN00008,2018-07-07,India,P001,Laptop,Electronics,1651.28,2.0,2311.79,0.28,Cash,26-35,Female,Cape Town,John Doe
TIN00009,2017-03-13,India,P005,Watch,Fashion,594.03,3.0,1247.46,11.16,Mobile Money,46-55,Male,Nairobi,Jane Smith
TIN00010,2018-02-07,India,P001,Laptop,Electronics,418.82,8.0,2345.39,9.11,Bank Transfer,46-55,Female,Johannesburg,John Doe
TIN00011,2018-05-28,India,P002,Phone,Electronics,343.35,8.0,1922.76,41.79,Cash,18-25,Male,Mombasa,Emily Davis
TIN00012,2015-02-22,India,P005,Watch,Fashion,561.73,5.0,1966.05,46.81,Mobile Money,36-45,Male,Johannesburg,John Doe
TIN00013,2016-10-13,India,P003,TV,Electronics,1095.03,6.0,4599.13,49.49,Credit Card,36-45,Male,Durban,Robert Brown
TIN00014,2021-09-10,India,P005,Watch,Fashion,1108.11,1.0,775.68,44.43,Bank Transfer,26-35,Male,Nairobi,Emily Davis
TIN00015,2017-11-29,India,P005,Watch,Fashion,387.56,6.0,1627.75,22.12,Cash,18-25,Female,Johannesburg,Jane Smith
