Transaction_ID,Date,Country,Product_ID,Product_Name,Category,Price_per_Unit,Quantity_Purchased,Cost_Price,Discount_Applied,Payment_Method,Customer_Age_Group,Customer_Gender,Store_Location,Sales_Rep
TKE00001,2020-06-22,Kenya,P005,Watch,Fashion,393.16,4.0,1100.85,44.85,Credit Card,18-25,Male,Cape Town,Emily Davis
TKE00002,2019-07-12,Kenya,P004,Shoes,Fashion,380.77,9.0,2398.85,17.07,Cash,36-45,Male,Johannesburg,Emily Davis
TKE00003,2021-12-29,Kenya,P002,Phone,Electronics,1907.28,10.0,13350.96,40.88,Credit Card,56+,Male,Mombasa,John Doe
TKE00004,2020-04-13,Kenya,P002,Phone,Electronics,1172.97,3.0,2463.24,2.1,Bank Transfer,26-35,Female,Mombasa,Jane Smith
TKE00005,2016-07-19,Kenya,P004,Shoes,Fashion,980.31,8.0,5489.74,39.91,Credit Card,36-45,Male,Nairobi,Robert Brown
TKE00006,2021-04-19,Kenya,P003,TV,Electronics,987.77,8.0,5531.51,9.27,Mobile Money,18-25,Female,Johannesburg,Emily Davis
TKE00007,2023-06-05,Kenya,P003,TV,Electronics,377.43,5.0,1321.0,25.95,Cash,36-45,Female,Mombasa,
TKE00008,2021-03-23,Kenya,P005,Watch,Fashion,540.43,7.0,2648.11,49.71,Credit Card,56+,Male,Nairobi,Jane Smith
TKE00009,2024-03-22,Kenya,P002,Phone,Electronics,1281.01,7.0,6276.95,5.42,Bank Transfer,46-55,Male,Mombasa,Robert Brown
TKE00010,2024-12-11,Kenya,P006,Bag,Fashion,1998.28,5.0,6993.98,48.61,Mobile Money,18-25,Female,Cape Town,John Doe
TKE00011,2023-02-08,Kenya,P004,Shoes,Fashion,1212.07,4.0,3393.8,23.5,Credit Card,46-55,Female,Mombasa,John Doe
TKE00012,2020-06-19,Kenya,P001,Laptop,Electronics,868.45,9.0,5471.23,13.36,Bank Transfer,36-45,Male,Nairobi,Jane Smith
TKE00013,2024-05-16,Kenya,P002,Phone,Electronics,551.84,8.0,3090.3,30.1,Cash,46-55,Male,Cape Town,John Doe
TKE00014,2015-12-10,Kenya,P006,Bag,Fashion,1776.72,3.0,3731.11,23.29,Cash,26-35,Male,Johannesburg,John Doe
TKE00015,2020-10-22,Kenya,P004,Shoes,Fashion,1233.32,8.0,6906.59,46.06,Credit Card,46-55,Male,Durban,John Doe
TKE00016,2021-05-23,Kenya,P006,Bag,Fashion,1348.67,10.0,9440.69,19.24,Cash,46-55,Female,Nairobi,Jane Smith
TKE00017,2022-10-20,Kenya,P002,Phone,Electronics,401.72,4.0,1124.82,29.46,Mobile Money,18-25,Female,Mombasa,Robert Brown
TKE00018,2016-10-19,Kenya,P002,Phone,Electronics,1552.82,1.0,1086.97,43.56,Cash,56+,Male,Nairobi,Robert Brown
TKE00019,2016-10-10,Kenya,P002,Phone,Electronics,1217.35,2.0,1704.29,46.72,Credit Card,18-25,Female,Durban,Emily Davis
TKE00020,2021-08-23,Kenya,P004,Shoes,Fashion,1981.0,4.0,5546.8,25.8,Mobile Money,46-55,,Cape Town,Emily Davis
TKE00021,2023-01-07,Kenya,P003,TV,Electronics,77.5,10.0,542.5,,Bank Transfer,18-25,Male,Nairobi,Robert Brown
TKE00022,2021-04-02,Kenya,P006,Bag,Fashion,947.59,10.0,6633.13,30.86,Bank Transfer,56+,Male,Durban,Robert Brown
TKE00023,,Kenya,P005,Watch,Fashion,364.4,3.0,765.24,10.6,Cash,56+,Male,Cape Town,Emily Davis
TKE00024,2019-11-12,Kenya,P003,TV,Electronics,1360.9,7.0,6668.41,27.07,Bank Transfer,26-35,Female,Durban,Jane Smith
TKE00025,2024-03-06,Kenya,P001,Laptop,Electronics,620.22,7.0,3039.08,7.99,Cash,46-55,Female,Johannesburg,John Doe
TKE00026,2023-08-24,Kenya,P006,Bag,Fashion,42.15,1.0,29.5,40.08,Bank Transfer,46-55,Female,Cape Town,Jane Smith
TKE00027,2016-08-23,Kenya,P004,Shoes,Fashion,1484.94,2.0,2078.92,12.49,Mobile Money,56+,Male,Durban,John Doe
TKE00028,2017-01-07,Kenya,P003,TV,Electronics,1396.04,2.0,1954.46,28.48,Mobile Money,36-45,Female,Durban,Emily Davis
TKE00029,2022-07-25,Kenya,P003,TV,Electronics,1832.7,3.0,3848.67,24.25,Cash,36-45,Female,Durban,Jane Smith
TKE00030,2020-11-05,Kenya,P001,Laptop,Electronics,1675.32,5.0,5863.62,35.22,Bank Transfer,26-35,Male,,Emily Davis
TKE00031,2020-10-15,Kenya,P001,Laptop,Electronics,1360.1,1.0,952.07,1.24,Credit Card,26-35,Female,Durban,Emily Davis
TKE00032,2024-01-08,Kenya,P002,Phone,Electronics,999.91,,2099.81,14.56,Bank Transfer,36-45,Male,Durban,Emily Davis
TKE00033,2023-12-30,Kenya,P005,Watch,Fashion,743.64,2.0,1041.1,30.57,Cash,56+,Male,Johannesburg,John Doe
TKE00034,2021-05-08,Kenya,P005,Watch,Fashion,474.83,8.0,2659.05,29.86,Cash,46-55,Female,Johannesburg,Robert Brown
TKE00035,2019-10-23,Kenya,P005,Watch,Fashion,1704.65,6.0,7159.53,2.38,Cash,36-45,Female,Nairobi,Robert Brown
TKE00036,2015-02-08,Kenya,P005,Watch,Fashion,1421.46,9.0,8955.2,35.87,Mobile Money,46-55,Female,Durban,Robert Brown
TKE00037,2024-10-13,Kenya,P005,Watch,Fashion,1172.82,3.0,2462.92,35.33,Mobile Money,18-25,Male,Nairobi,Emily Davis
TKE00038,2020-11-29,Kenya,P002,Phone,Electronics,289.21,4.0,809.79,35.71,Bank Transfer,46-55,Male,Johannesburg,Jane Smith
TKE00039,2015-08-09,Kenya,P002,Phone,Electronics,705.37,10.0,4937.59,21.82,Cash,36-45,Female,Cape Town,Robert Brown
TKE00040,2019-03-09,Kenya,P003,TV,Electronics,1715.1,10.0,12005.7,11.8,Bank Transfer,36-45,Female,Cape Town,Jane Smith
TKE00041,2018-06-29,Kenya,P004,Shoes,Fashion,878.11,5.0,3073.38,9.35,Cash,18-25,Female,Johannesburg,Emily Davis
TKE00042,2018-12-12,Kenya,P002,Phone,Electronics,1801.11,5.0,6303.88,7.77,Cash,56+,Female,Mombasa,John Doe
TKE00043,2024-09-04,Kenya,P001,Laptop,Electronics,870.55,9.0,5484.46,16.77,Mobile Money,46-55,Male,Johannesburg,John Doe
TKE00044,2019-08-16,Kenya,P001,Laptop,Electronics,1273.08,3.0,2673.47,5.2,Bank Transfer,46-55,Male,Johannesburg,Emily Davis
TKE00045,2022-06-27,Kenya,P002,Phone,Electronics,1206.78,2.0,1689.49,16.96,Credit Card,18-25,Female,Nairobi,John Doe
TKE00046,2018-07-20,Kenya,P001,Laptop,Electronics,1578.35,2.0,2209.69,43.16,Mobile Money,26-35,Male,Durban,John Doe
TKE00047,2021-10-23,Kenya,P006,Bag,Fashion,1598.08,2.0,2237.31,10.54,Mobile Money,46-55,Male,Mombasa,John Doe
TKE00048,2019-04-21,Kenya,P003,TV,Electronics,1714.39,8.0,9600.58,17.55,Credit Card,46-55,Male,Mombasa,John Doe
TKE00049,2024-03-04,Kenya,P002,Phone,Electronics,14.4,9.0,90.72,28.42,Bank Transfer,46-55,Male,Nairobi,Emily Davis
TKE00050,2018-05-28,Kenya,P003,TV,Electronics,1369.63,7.0,6711.19,32.47,Mobile Money,46-55,Female,Mombasa,
TKE00051,2021-10-19,Kenya,P001,Laptop,Electronics,59.95,3.0,125.9,16.72,Cash,56+,Male,Nairobi,Jane Smith
TKE00052,2019-12-03,Kenya,P006,Bag,Fashion,93.24,1.0,65.27,11.93,Cash,18-25,Female,Durban,Jane Smith
TKE00053,2023-05-11,Kenya,P004,Shoes,Fashion,621.02,8.0,3477.71,26.52,Credit Card,26-35,Male,Johannesburg,Emily Davis
TKE00054,2016-12-26,Kenya,P002,Phone,Electronics,1339.53,7.0,6563.7,40.88,Bank Transfer,26-35,,Cape Town,Robert Brown
TKE00055,2021-02-20,Kenya,P006,Bag,Fashion,217.17,9.0,1368.17,31.93,Cash,18-25,Female,Cape Town,Emily Davis
TKE00056,2017-12-05,Kenya,P004,Shoes,Fashion,523.94,6.0,2200.55,28.9,Credit Card,36-45,Male,Nairobi,Jane Smith
TKE00057,2015-09-19,Kenya,P003,TV,Electronics,1897.65,7.0,9298.49,34.05,Credit Card,56+,Female,Cape Town,Emily Davis
TKE00058,,Kenya,P004,Shoes,Fashion,952.52,8.0,5334.11,18.19,Bank Transfer,56+,Female,Johannesburg,Robert Brown
