Transaction_ID,Date,Country,Product_ID,Product_Name,Category,Price_per_Unit,Quantity_Purchased,Cost_Price,Discount_Applied,Payment_Method,Customer_Age_Group,Customer_Gender,Store_Location,Sales_Rep
TNI00001,2019-10-27,Nigeria,P006,Bag,Fashion,1012.44,4.0,2834.83,28.14,Bank Transfer,46-55,Male,Cape Town,Jane Smith
TNI00002,2018-05-06,Nigeria,P006,Bag,Fashion,84.85,1.0,59.39,34.37,Bank Transfer,26-35,Female,Cape Town,Emily Davis
TNI00003,2019-11-14,Nigeria,P001,Laptop,Electronics,728.88,2.0,1020.43,6.35,Credit Card,36-45,Female,Johannesburg,Robert Brown
TNI00004,2022-11-06,Nigeria,P001,Laptop,Electronics,537.59,7.0,2634.19,24.05,Bank Transfer,26-35,Male,Durban,John Doe
TNI00005,2023-03-10,Nigeria,P004,Shoes,Fashion,1113.27,,2337.87,13.08,Bank Transfer,56+,Female,Nairobi,Robert Brown
TNI00006,2023-09-01,Nigeria,P004,Shoes,Fashion,1833.18,3.0,3849.68,9.55,Bank Transfer,26-35,Male,Mombasa,Emily Davis
TNI00007,2024-04-25,Nigeria,P003,TV,Electronics,595.35,2.0,833.49,4.32,Bank Transfer,36-45,Male,Nairobi,Robert Brown
TNI00008,2022-08-10,Nigeria,P005,Watch,Fashion,62.03,4.0,173.68,7.47,Bank Transfer,26-35,Male,Mombasa,Emily Davis
TNI00009,2016-11-28,Nigeria,P002,Phone,Electronics,1063.83,5.0,3723.4,26.51,Bank Transfer,26-35,Female,Nairobi,John Doe
TNI00010,2017-02-08,Nigeria,P001,Laptop,Electronics,773.13,1.0,541.19,15.77,Credit Card,46-55,Male,Durban,John Doe
TNI00011,2024-06-03,Nigeria,P003,TV,Electronics,1970.44,9.0,12413.77,46.75,Mobile Money,56+,Female,Cape Town,Robert Brown
TNI00012,2020-10-10,Nigeria,P004,Shoes,Fashion,34.63,5.0,,39.2,Credit Card,46-55,Male,Nairobi,Robert Brown
TNI00013,2023-07-07,Nigeria,P005,Watch,Fashion,1273.76,10.0,8916.32,27.09,Mobile Money,26-35,Female,Johannesburg,Emily Davis
TNI00014,2024-11-12,Nigeria,P005,Watch,Fashion,301.47,8.0,1688.23,42.01,Credit Card,36-45,Female,Durban,Robert Brown
TNI00015,2019-07-19,Nigeria,P005,Watch,Fashion,324.1,3.0,680.61,46.14,Credit Card,56+,Male,Johannesburg,John Doe
TNI00016,2023-12-13,Nigeria,P004,Shoes,Fashion,961.56,2.0,1346.18,48.57,Mobile Money,18-25,Male,Durban,Jane Smith
TNI00017,2018-01-05,Nigeria,P006,Bag,Fashion,1057.34,2.0,1480.28,34.64,Credit Card,46-55,Female,Nairobi,Robert Brown
TNI00018,2021-05-29,Nigeria,P001,Laptop,Electronics,418.71,2.0,586.19,6.57,Mobile Money,26-35,Male,Mombasa,Robert Brown
TNI00019,2019-04-15,Nigeria,P004,Shoes,Fashion,1927.99,10.0,13495.93,18.01,Mobile Money,18-25,Female,Nairobi,Emily Davis
TNI00020,2024-03-01,Nigeria,P002,Phone,Electronics,1296.52,7.0,6352.95,2.2,Credit Card,56+,Female,Mombasa,Jane Smith
TNI00021,2019-10-18,Nigeria,P003,TV,Electronics,647.03,10.0,4529.21,5.05,Bank Transfer,46-55,,Nairobi,John Doe
TNI00022,2021-02-26,Nigeria,P001,Laptop,Electronics,682.83,7.0,3345.87,49.68,Credit Card,46-55,Female,Cape Town,Emily Davis
TNI00023,2024-07-17,Nigeria,P005,Watch,Fashion,606.28,10.0,4243.96,18.95,Mobile Money,56+,Male,Cape Town,John Doe
TNI00024,2021-11-11,Nigeria,P003,TV,Electronics,1422.65,8.0,7966.84,24.93,Mobile Money,46-55,Male,Nairobi,Robert Brown
TNI00025,2019-05-10,Nigeria,P006,Bag,Fashion,169.67,7.0,831.38,8.87,Mobile Money,18-25,Female,Durban,
TNI00026,2020-07-02,Nigeria,P005,Watch,Fashion,1143.55,7.0,5603.39,42.8,Mobile Money,56+,Female,Nairobi,Robert Brown
TNI00027,2024-11-15,Nigeria,P003,TV,Electronics,879.89,1.0,615.92,37.42,Credit Card,18-25,Male,Nairobi,Emily Davis
TNI00028,2016-02-12,Nigeria,P005,Watch,Fashion,697.94,10.0,4885.58,7.57,Credit Card,26-35,Male,Mombasa,Emily Davis
TNI00029,2019-08-26,Nigeria,P003,TV,Electronics,1202.4,4.0,3366.72,45.31,Mobile Money,56+,Female,Durban,Jane Smith
TNI00030,2024-09-04,Nigeria,P001,Laptop,Electronics,1453.06,10.0,10171.42,45.91,Bank Transfer,46-55,Female,Mombasa,Jane Smith
