Transaction_ID,Date,Country,Product_ID,Product_Name,Category,Price_per_Unit,Quantity_Purchased,Cost_Price,Discount_Applied,Payment_Method,Customer_Age_Group,Customer_Gender,Store_Location,Sales_Rep
TSO00001,2018-06-01,South Africa,P003,TV,Electronics,907.33,5.0,3175.66,44.4,Mobile Money,18-25,Male,Mombasa,Robert Brown
TSO00002,2023-10-12,South Africa,P004,Shoes,Fashion,906.07,7.0,4439.74,39.98,Cash,18-25,Male,Nairobi,John Doe
TSO00003,2022-04-17,South Africa,P004,Shoes,Fashion,939.81,3.0,1973.6,46.78,Cash,26-35,Female,Johannesburg,Robert Brown
TSO00004,2022-05-25,South Africa,P001,Laptop,Electronics,1997.33,3.0,4194.39,15.1,Credit Card,56+,Female,Nairobi,Emily Davis
TSO00005,2016-08-25,South Africa,P004,Shoes,Fashion,244.48,9.0,1540.22,6.91,Credit Card,46-55,Male,Johannesburg,Emily Davis
TSO00006,2018-01-29,South Africa,P001,Laptop,Electronics,1719.52,4.0,4814.66,1.6,Bank Transfer,26-35,Female,Cape Town,Emily Davis
TSO00007,2019-11-25,South Africa,P006,Bag,Fashion,1799.64,10.0,12597.48,36.74,Mobile Money,46-55,Male,Nairobi,Jane Smith
TSO00008,2023-05-24,South Africa,P004,Shoes,Fashion,1094.37,2.0,1532.12,15.46,Bank Transfer,56+,Female,Durban,Robert Brown
TSO00009,2020-06-13,,P001,Laptop,Electronics,452.84,1.0,316.99,27.92,Credit Card,56+,Male,Johannesburg,Emily Davis
TSO00010,2017-08-27,South Africa,P003,TV,Electronics,1483.11,8.0,8305.42,17.55,Credit Card,36-45,Male,Mombasa,Robert Brown
TSO00011,2020-04-03,South Africa,P002,Phone,Electronics,1812.56,7.0,8881.54,3.17,Credit Card,36-45,Female,Durban,Robert Brown
TSO00012,2015-07-14,South Africa,P001,Laptop,Electronics,807.31,2.0,1130.23,14.55,Bank Transfer,46-55,Female,Cape Town,Robert Brown
TSO00013,2022-03-07,South Africa,P004,Shoes,Fashion,1090.64,1.0,763.45,15.44,Cash,36-45,Male,Durban,Emily Davis
TSO00014,2016-03-02,South Africa,P005,Watch,Fashion,969.27,7.0,4749.42,48.72,Credit Card,18-25,Male,Mombasa,John Doe
TSO00015,2019-03-21,South Africa,P006,Bag,Fashion,1366.72,8.0,7653.63,0.48,Bank Transfer,26-35,Male,Johannesburg,Jane Smith
TSO00016,2016-11-01,South Africa,P005,Watch,Fashion,1022.66,5.0,3579.31,41.18,Credit Card,56+,Female,Cape Town,Jane Smith
TSO00017,2015-05-21,South Africa,P003,TV,Electronics,1316.62,4.0,3686.54,19.78,Mobile Money,36-45,Female,Cape Town,Emily Davis
TSO00018,2020-10-26,South Africa,P004,Shoes,Fashion,1387.75,2.0,1942.85,25.24,Credit Card,46-55,Female,Durban,Emily Davis
TSO00019,2015-12-03,South Africa,P006,Bag,Fashion,1079.71,8.0,6046.38,6.24,Cash,56+,Female,Cape Town,Jane Smith
TSO00020,2021-06-10,South Africa,P003,TV,Electronics,1565.59,8.0,8767.3,13.06,Credit Card,18-25,Male,Durban,John Doe
TSO00021,2015-01-27,South Africa,P004,Shoes,Fashion,846.58,,2963.03,42.51,Bank Transfer,26-35,Male,Durban,Robert Brown
