Transaction_ID,Date,Country,Product_ID,Product_Name,Category,Price_per_Unit,Quantity_Purchased,Cost_Price,Discount_Applied,Payment_Method,Customer_Age_Group,Customer_Gender,Store_Location,Sales_Rep
TUK00001,2017-07-02,UK,P001,Laptop,Electronics,351.14,8.0,1966.38,35.51,Credit Card,46-55,Female,Nairobi,Emily Davis
TUK00002,2018-06-11,UK,P001,Laptop,Electronics,906.62,2.0,1269.27,13.33,Credit Card,18-25,Female,Johannesburg,Robert Brown
TUK00003,2018-10-24,UK,P006,Bag,Fashion,1997.57,8.0,11186.39,45.85,Credit Card,56+,Male,Durban,Jane Smith
TUK00004,2022-09-26,UK,P005,Watch,Fashion,1289.78,6.0,5417.08,0.92,Credit Card,46-55,Female,Nairobi,Jane Smith
TUK00005,2016-08-18,UK,P001,Laptop,Electronics,512.71,10.0,3588.97,5.76,Bank Transfer,18-25,Male,Mombasa,Jane Smith
TUK00006,2022-04-02,UK,P005,Watch,Fashion,38.4,9.0,241.92,33.69,Mobile Money,26-35,Male,Nairobi,Emily Davis
TUK00007,2018-07-30,UK,P004,Shoes,Fashion,522.91,3.0,1098.11,22.73,Mobile Money,26-35,Male,Mombasa,Jane Smith
TUK00008,2023-09-14,UK,P001,Laptop,Electronics,1480.3,5.0,5181.05,19.67,Mobile Money,36-45,Male,Durban,Robert Brown
TUK00009,2016-05-18,UK,P001,Laptop,Electronics,1405.13,6.0,5901.55,13.23,Mobile Money,46-55,Male,Nairobi,Robert Brown
TUK00010,2021-06-08,UK,P002,Phone,Electronics,516.84,2.0,723.58,5.6,Mobile Money,56+,Male,Nairobi,Emily Davis
TUK00011,2020-07-31,UK,P003,TV,Electronics,894.11,4.0,2503.51,20.67,Bank Transfer,18-25,Female,Cape Town,Jane Smith
TUK00012,2018-09-09,UK,P005,Watch,Fashion,1342.99,5.0,4700.46,7.83,Mobile Money,56+,Male,Durban,Jane Smith
TUK00013,2017-02-11,UK,P002,Phone,Electronics,608.95,7.0,2983.86,39.7,Bank Transfer,46-55,Female,Johannesburg,Robert Brown
TUK00014,2019-12-04,UK,P002,Phone,Electronics,430.06,4.0,1204.17,42.55,Bank Transfer,18-25,Female,Cape Town,Jane Smith
TUK00015,2020-11-14,UK,P003,TV,Electronics,1001.23,6.0,4205.17,1.47,Cash,36-45,Male,Johannesburg,Emily Davis
TUK00016,2015-09-28,UK,P006,Bag,Fashion,142.2,2.0,199.08,46.96,Mobile Money,18-25,Female,Mombasa,Robert Brown
TUK00017,2018-12-23,UK,P001,Laptop,Electronics,1123.7,,4719.54,26.22,Cash,56+,Male,Mombasa,Robert Brown
TUK00018,2024-02-28,UK,P006,Bag,Fashion,842.84,3.0,1769.96,46.8,Credit Card,36-45,Female,Durban,Emily Davis
TUK00019,2024-08-31,UK,P002,Phone,Electronics,283.75,6.0,1191.75,18.17,Mobile Money,18-25,Male,Mombasa,Jane Smith
TUK00020,2021-04-02,UK,P005,Watch,Fashion,1875.85,1.0,1313.09,16.95,Bank Transfer,46-55,Male,Mombasa,Robert Brown
TUK00021,2022-05-21,UK,P003,TV,Electronics,262.2,3.0,550.62,22.84,Mobile Money,56+,Male,Cape Town,Robert Brown
TUK00022,2019-08-01,UK,P005,Watch,Fashion,1068.39,7.0,5235.11,2.78,Mobile Money,36-45,Female,Nairobi,Robert Brown
TUK00023,2021-03-29,UK,P005,Watch,Fashion,57.85,2.0,80.99,16.21,Credit Card,56+,Female,Johannesburg,John Doe
TUK00024,2017-02-06,UK,P001,Laptop,Electronics,1608.12,1.0,1125.68,40.14,Mobile Money,36-45,Female,Nairobi,Robert Brown
TUK00025,2019-04-20,UK,P005,Watch,Fashion,1130.25,7.0,5538.22,23.76,Mobile Money,26-35,Male,Johannesburg,Emily Davis
TUK00026,2020-08-26,UK,P001,Laptop,Electronics,300.73,6.0,1263.07,13.85,Bank Transfer,36-45,Female,Mombasa,Robert Brown
TUK00027,2019-09-04,UK,P005,Watch,Fashion,1437.64,7.0,7044.44,26.9,Mobile Money,36-45,Female,Cape Town,Robert Brown
TUK00028,2023-11-06,UK,P003,TV,Electronics,542.94,5.0,1900.29,11.19,Bank Transfer,46-55,Male,Nairobi,John Doe
TUK00029,2016-11-10,UK,P006,Bag,Fashion,1453.93,1.0,1017.75,19.43,Mobile Money,56+,Male,Mombasa,John Doe
TUK00030,2023-04-24,UK,P004,Shoes,Fashion,1554.27,4.0,4351.96,41.18,Mobile Money,56+,Female,Mombasa,Emily Davis
TUK00031,2019-12-27,UK,P005,Watch,Fashion,1500.46,6.0,6301.93,39.0,Bank Transfer,26-35,Female,Johannesburg,Emily Davis
TUK00032,2024-08-07,UK,P006,Bag,Fashion,873.03,9.0,5500.09,2.48,Credit Card,26-35,Male,Durban,Emily Davis
TUK00033,2017-05-18,UK,P005,Watch,Fashion,826.34,2.0,1156.88,15.67,Cash,56+,Male,Johannesburg,John Doe
TUK00034,2018-05-11,UK,,Shoes,Fashion,45.35,7.0,222.21,6.77,Credit Card,18-25,Female,Cape Town,Jane Smith
TUK00035,2022-08-26,UK,P001,Laptop,Electronics,245.26,7.0,1201.77,47.78,,56+,Male,Cape Town,John Doe
TUK00036,2016-05-10,UK,P003,TV,Electronics,1064.96,5.0,3727.36,39.69,Credit Card,56+,Male,Cape Town,Robert Brown
TUK00037,2015-03-11,UK,P001,Laptop,Electronics,1587.84,8.0,8891.9,12.6,Cash,36-45,,Mombasa,Emily Davis
TUK00038,2020-04-24,UK,P005,Watch,Fashion,1147.07,5.0,4014.74,27.53,Credit Card,36-45,Female,Durban,Emily Davis
TUK00039,2016-05-28,UK,P001,Laptop,Electronics,1657.98,3.0,3481.76,14.06,Bank Transfer,56+,Male,Johannesburg,Robert Brown
TUK00040,2017-07-08,UK,P001,Laptop,Electronics,1583.09,6.0,6648.98,10.95,Credit Card,18-25,Male,Mombasa,John Doe
TUK00041,2021-01-08,UK,P002,Phone,Electronics,144.91,10.0,1014.37,4.54,Credit Card,46-55,Male,Mombasa,Emily Davis
TUK00042,2021-09-09,UK,P001,Laptop,Electronics,1261.25,2.0,1765.75,43.67,Bank Transfer,56+,Female,Johannesburg,Robert Brown
TUK00043,2022-09-17,UK,P005,Watch,Fashion,1405.15,7.0,6885.24,22.89,Cash,26-35,Male,Johannesburg,Emily Davis
TUK00044,2023-02-28,UK,P001,Laptop,Electronics,1364.27,1.0,954.99,22.79,Cash,26-35,Male,Johannesburg,Emily Davis
TUK00045,2023-08-09,UK,P001,Laptop,Electronics,1384.16,5.0,4844.56,2.92,Bank Transfer,18-25,Male,Johannesburg,Robert Brown
TUK00046,2022-12-29,UK,P005,Watch,Fashion,512.04,2.0,716.86,6.5,Cash,46-55,Female,Johannesburg,Jane Smith
TUK00047,2021-07-18,UK,P003,TV,Electronics,1818.66,2.0,2546.12,1.98,Credit Card,36-45,Female,Nairobi,Jane Smith
TUK00048,2016-01-17,UK,P001,Laptop,Electronics,649.14,6.0,2726.39,21.86,Cash,36-45,Female,Durban,Emily Davis
TUK00049,2017-10-23,UK,P005,Watch,Fashion,1708.86,5.0,5981.01,31.2,Bank Transfer,18-25,Female,Johannesburg,Emily Davis
TUK00050,2016-01-06,UK,P005,Watch,Fashion,1858.12,3.0,3902.05,45.32,Bank Transfer,36-45,Female,Cape Town,Emily Davis
TUK00051,2022-06-13,UK,P005,Watch,Fashion,919.97,3.0,1931.94,43.26,Cash,18-25,Male,Cape Town,John Doe
TUK00052,2018-08-23,UK,P004,Shoes,Fashion,29.81,7.0,146.07,28.84,,36-45,Male,Johannesburg,Jane Smith
TUK00053,2023-02-07,UK,P006,Bag,Fashion,1776.81,7.0,8706.37,17.38,Mobile Money,56+,Female,Durban,Robert Brown
TUK00054,2022-11-15,UK,P004,Shoes,Fashion,376.75,10.0,2637.25,12.75,Cash,46-55,Female,Mombasa,Emily Davis
TUK00055,2015-08-22,UK,P004,Shoes,Fashion,1914.12,3.0,4019.65,15.35,Cash,26-35,Male,Cape Town,Jane Smith
TUK00056,2017-10-15,UK,P005,Watch,Fashion,1764.71,6.0,7411.78,47.85,Credit Card,18-25,Female,Mombasa,John Doe
TUK00057,2021-01-16,UK,P005,Watch,Fashion,1953.73,2.0,2735.22,14.1,Mobile Money,56+,Female,Cape Town,John Doe
TUK00058,2024-03-29,UK,P001,Laptop,Electronics,1817.97,9.0,11453.21,7.44,Cash,56+,Female,Nairobi,Robert Brown
TUK00059,2016-05-08,UK,P003,TV,Electronics,1832.55,2.0,2565.57,8.44,Cash,18-25,Male,Nairobi,Emily Davis
TUK00060,2018-09-16,UK,P005,Watch,Fashion,75.29,3.0,158.11,44.51,Bank Transfer,56+,Female,Durban,John Doe
TUK00061,2017-01-30,UK,P004,Shoes,,243.15,10.0,1702.05,4.91,Credit Card,18-25,Female,Cape Town,Robert Brown
TUK00062,2018-04-13,UK,P005,Watch,Fashion,591.62,9.0,3727.21,7.39,Mobile Money,56+,Female,Nairobi,John Doe
TUK00063,2022-09-19,UK,P002,Phone,Electronics,68.68,10.0,480.76,35.91,Bank Transfer,18-25,Male,Johannesburg,Robert Brown
TUK00064,2021-11-19,UK,P006,Bag,Fashion,1757.68,8.0,9843.01,31.89,Mobile Money,36-45,Male,Cape Town,Robert Brown
TUK00065,2024-03-05,UK,P006,Bag,Fashion,821.96,10.0,5753.72,37.72,Credit Card,36-45,Female,Mombasa,Emily Davis
TUK00066,2015-10-06,UK,,Bag,Fashion,106.75,8.0,597.8,29.27,Bank Transfer,46-55,Female,,Jane Smith
TUK00067,,UK,P005,Watch,Fashion,1632.57,10.0,11427.99,36.44,Mobile Money,18-25,Male,Johannesburg,Emily Davis
TUK00068,2016-10-23,UK,P001,Laptop,Electronics,1896.33,10.0,13274.31,35.1,Bank Transfer,46-55,Female,Mombasa,Emily Davis
TUK00069,2016-04-05,UK,P002,Phone,Electronics,1301.19,9.0,8197.5,12.69,Credit Card,46-55,Female,Cape Town,John Doe
TUK00070,2019-03-12,UK,P003,TV,Electronics,1097.19,4.0,3072.13,43.51,Bank Transfer,46-55,Male,Mombasa,Jane Smith
TUK00071,2023-02-19,UK,P004,Shoes,Fashion,152.07,3.0,319.35,34.19,Cash,56+,Male,Mombasa,Emily Davis
TUK00072,2016-11-26,UK,P004,Shoes,Fashion,685.55,2.0,959.77,25.01,Cash,46-55,Male,Johannesburg,Robert Brown
TUK00073,2022-12-20,UK,P006,Bag,Fashion,1268.65,1.0,888.06,3.24,Credit Card,46-55,Female,Johannesburg,Robert Brown
TUK00074,2021-03-19,UK,P006,Bag,Fashion,1481.93,10.0,10373.51,43.35,Credit Card,46-55,Male,Durban,Emily Davis
TUK00075,2015-01-01,UK,P005,Watch,Fashion,1470.84,,5147.94,19.58,Credit Card,56+,Male,Cape Town,Emily Davis
TUK00076,2022-04-27,UK,P003,TV,Electronics,733.61,1.0,513.53,,Bank Transfer,18-25,Male,Johannesburg,Jane Smith
TUK00077,2022-02-19,UK,P004,Shoes,Fashion,938.86,10.0,6572.02,26.06,Cash,18-25,Male,Johannesburg,John Doe
TUK00078,2017-01-03,UK,P002,Phone,Electronics,1196.67,6.0,5026.01,19.54,Credit Card,18-25,Male,Mombasa,Robert Brown
TUK00079,2024-12-19,UK,P003,TV,Electronics,693.79,8.0,3885.22,10.14,Mobile Money,46-55,Female,Johannesburg,Robert Brown
TUK00080,2024-11-01,UK,P002,Phone,Electronics,1600.46,9.0,10082.9,16.38,Credit Card,18-25,Female,Mombasa,Robert Brown
TUK00081,2022-06-19,UK,P005,Watch,Fashion,1796.85,7.0,8804.56,47.27,Cash,18-25,Male,Nairobi,Jane Smith
