Transaction_ID,Date,Country,Product_ID,Product_Name,Category,Price_per_Unit,Quantity_Purchased,Cost_Price,Discount_Applied,Payment_Method,Customer_Age_Group,Customer_Gender,Store_Location,Sales_Rep
TUS00001,2022-05-20,US,P001,Laptop,Electronics,531.4,5.0,1859.9,15.82,Cash,46-55,Male,Mombasa,Emily Davis
TUS00002,2017-03-03,US,P002,Phone,Electronics,413.78,9.0,2606.81,40.35,Credit Card,18-25,Male,Johannesburg,John Doe
TUS00003,2021-09-16,US,P002,Phone,Electronics,1512.61,10.0,10588.27,35.68,Mobile Money,36-45,Female,Mombasa,Robert Brown
TUS00004,2019-08-18,US,P001,Laptop,Electronics,392.49,4.0,1098.97,10.0,Mobile Money,18-25,Female,Durban,Robert Brown
TUS00005,2023-12-09,US,P006,Bag,Fashion,963.51,10.0,6744.57,29.97,Mobile Money,26-35,Female,Durban,Emily Davis
TUS00006,2018-07-24,US,P005,Watch,Fashion,458.66,10.0,3210.62,14.61,Credit Card,46-55,Female,Cape Town,Emily Davis
TUS00007,2016-03-16,US,P006,Bag,Fashion,1962.91,2.0,2748.07,18.59,Bank Transfer,36-45,Female,Cape Town,Emily Davis
TUS00008,2024-05-06,US,P005,Watch,Fashion,636.72,2.0,891.41,17.74,Cash,56+,Female,Cape Town,
TUS00009,2015-08-05,US,P001,Laptop,Electronics,1830.86,4.0,5126.41,32.07,Credit Card,56+,Female,Cape Town,Robert Brown
TUS00010,2023-05-01,US,P001,Laptop,Electronics,1017.93,7.0,4987.86,17.8,Cash,46-55,Female,Nairobi,Emily Davis
TUS00011,2016-02-15,US,P003,TV,Electronics,,2.0,2261.08,44.67,Bank Transfer,18-25,Female,Cape Town,John Doe
TUS00012,2020-12-01,US,P002,Phone,Electronics,1458.65,3.0,3063.17,45.91,Credit Card,36-45,Female,Mombasa,Jane Smith
TUS00013,2018-04-02,US,P002,Phone,Electronics,875.53,,3677.23,33.6,Bank Transfer,46-55,Female,Johannesburg,Emily Davis
TUS00014,2016-08-07,US,P002,Phone,Electronics,1480.4,7.0,7253.96,21.61,Credit Card,26-35,Female,Cape Town,
TUS00015,2023-07-23,US,P002,Phone,Electronics,1226.4,9.0,7726.32,6.73,Mobile Money,36-45,Female,Nairobi,Robert Brown
TUS00016,2022-03-07,US,P003,TV,Electronics,671.33,8.0,3759.45,36.93,Mobile Money,36-45,Male,Durban,Jane Smith
TUS00017,2021-01-01,,P006,Bag,Fashion,1159.71,1.0,811.8,3.96,Cash,26-35,Male,Cape Town,Jane Smith
TUS00018,2015-04-24,US,P005,Watch,Fashion,615.33,9.0,3876.58,14.74,Cash,36-45,Female,Cape Town,John Doe
TUS00019,2019-01-03,US,P004,Shoes,Fashion,1127.3,10.0,7891.1,9.59,Credit Card,56+,Female,Johannesburg,Jane Smith
TUS00020,2024-03-24,US,P006,Bag,Fashion,299.53,9.0,1887.04,17.65,Credit Card,46-55,Female,Nairobi,Jane Smith
TUS00021,2015-11-04,US,P002,Phone,Electronics,909.53,9.0,5730.04,24.72,Mobile Money,36-45,Male,Nairobi,John Doe
TUS00022,2022-11-21,US,P006,Bag,Fashion,570.08,10.0,3990.56,10.93,Credit Card,36-45,Female,Nairobi,Jane Smith
TUS00023,2016-08-18,US,P004,Shoes,Fashion,1179.39,6.0,4953.44,31.42,Cash,18-25,Female,Durban,Jane Smith
TUS00024,2017-04-21,US,P005,Watch,Fashion,746.36,3.0,1567.36,37.22,Mobile Money,18-25,Female,,Jane Smith
TUS00025,2020-02-07,US,P002,Phone,Electronics,1048.86,9.0,6607.82,19.1,Credit Card,36-45,Male,Johannesburg,Robert Brown
TUS00026,2017-06-02,US,P002,Phone,Electronics,1856.5,3.0,3898.65,28.57,Bank Transfer,36-45,Female,Mombasa,Emily Davis
TUS00027,2023-03-27,US,P005,Watch,Fashion,1011.48,4.0,2832.14,37.96,Cash,46-55,Male,Cape Town,Emily Davis
TUS00028,2020-06-09,,P003,TV,Electronics,665.29,4.0,1862.81,5.67,Credit Card,18-25,Female,Mombasa,Robert Brown
TUS00029,2020-02-05,US,P003,TV,Electronics,519.98,10.0,3639.86,42.22,Mobile Money,26-35,Male,Durban,Jane Smith
TUS00030,2022-01-27,US,P004,Shoes,Fashion,163.2,6.0,,47.02,Credit Card,26-35,Female,Johannesburg,Robert Brown
TUS00031,2022-12-30,US,P006,Bag,Fashion,1444.3,8.0,8088.08,25.8,Bank Transfer,36-45,Male,Mombasa,
TUS00032,2018-10-22,US,P004,Shoes,Fashion,1945.09,10.0,13615.63,3.61,Cash,26-35,Female,Durban,Robert Brown
TUS00033,2020-01-19,US,P003,TV,Electronics,557.21,6.0,2340.28,23.75,Bank Transfer,56+,Female,Cape Town,Emily Davis
TUS00034,2023-01-13,US,P006,Bag,Fashion,894.72,6.0,3757.82,0.17,Credit Card,36-45,Male,Durban,John Doe
TUS00035,2019-11-20,US,P003,TV,Electronics,26.85,6.0,112.77,15.85,Mobile Money,36-45,Female,Mombasa,Emily Davis
TUS00036,2015-12-12,US,P002,Phone,Electronics,1184.45,3.0,2487.35,5.77,Mobile Money,26-35,Female,Nairobi,John Doe
TUS00037,2020-04-15,US,P005,Watch,Fashion,1182.42,2.0,1655.39,45.59,Bank Transfer,26-35,Male,Nairobi,
TUS00038,2020-03-12,US,P002,Phone,Electronics,770.09,7.0,3773.44,5.88,Mobile Money,18-25,Male,Durban,Jane Smith
TUS00039,2018-07-17,US,P006,Bag,Fashion,605.92,6.0,2544.86,22.0,Cash,36-45,Female,Nairobi,John Doe
TUS00040,2023-05-08,US,P004,Shoes,Fashion,1330.57,10.0,9313.99,16.07,Mobile Money,56+,Female,Nairobi,John Doe
TUS00041,2015-05-24,US,P001,Laptop,Electronics,755.86,1.0,529.1,1.98,Credit Card,26-35,Female,Durban,John Doe
TUS00042,2017-08-22,US,P001,Laptop,Electronics,946.77,2.0,1325.48,30.72,Cash,56+,Male,Cape Town,Robert Brown
TUS00043,2017-08-01,US,P005,Watch,Fashion,1297.12,2.0,1815.97,33.59,Bank Transfer,26-35,Female,Cape Town,Jane Smith
TUS00044,2023-09-20,US,P002,Phone,Electronics,1872.1,10.0,13104.7,46.46,Mobile Money,56+,Male,,Jane Smith
TUS00045,2016-11-27,US,P002,Phone,Electronics,44.9,1.0,31.43,5.41,Mobile Money,36-45,Female,Durban,Emily Davis
TUS00046,2023-01-07,US,P005,Watch,Fashion,1029.35,2.0,1441.09,9.02,Credit Card,36-45,Female,Nairobi,Jane Smith
TUS00047,2024-08-16,US,P004,Shoes,Fashion,,1.0,146.58,28.06,Bank Transfer,36-45,Female,Durban,Jane Smith
TUS00048,2024-01-19,US,P001,Laptop,Electronics,650.08,5.0,2275.28,19.29,Bank Transfer,26-35,Female,Cape Town,John Doe
TUS00049,2024-08-17,US,P005,Watch,Fashion,614.74,10.0,4303.18,25.66,Cash,46-55,Female,Nairobi,John Doe
TUS00050,2017-10-09,US,P003,TV,Electronics,930.4,8.0,5210.24,36.95,Mobile Money,18-25,Male,Mombasa,Emily Davis
TUS00051,2017-07-28,US,P003,TV,Electronics,1366.57,6.0,5739.59,18.13,Cash,36-45,Male,Nairobi,John Doe
TUS00052,2024-11-23,US,P002,Phone,Electronics,615.4,6.0,2584.68,24.02,Bank Transfer,56+,Female,Johannesburg,John Doe
TUS00053,2015-12-25,US,P004,Shoes,Fashion,790.16,1.0,553.11,13.1,Mobile Money,56+,Male,Nairobi,Robert Brown
TUS00054,2020-05-25,US,P004,Shoes,Fashion,167.66,3.0,352.09,48.99,Credit Card,36-45,Male,Cape Town,John Doe
TUS00055,2019-08-09,US,P003,TV,Electronics,1082.8,4.0,3031.84,20.69,Cash,46-55,Male,Nairobi,Robert Brown
TUS00056,2021-01-16,US,P006,Bag,Fashion,1902.54,8.0,10654.22,22.07,Cash,26-35,Male,Nairobi,John Doe
TUS00057,2022-05-17,US,P004,Shoes,Fashion,211.58,4.0,592.42,7.86,Cash,46-55,Male,Nairobi,Emily Davis
TUS00058,2018-05-28,US,P004,Shoes,Fashion,772.39,5.0,2703.36,36.55,Credit Card,26-35,Male,,Robert Brown
TUS00059,2018-09-15,US,P006,Bag,Fashion,1366.26,2.0,1912.76,11.78,Credit Card,56+,Female,Nairobi,Robert Brown
TUS00060,2017-01-27,US,P005,Watch,Fashion,825.86,1.0,578.1,,Mobile Money,46-55,Male,Durban,Jane Smith
TUS00061,2024-10-04,US,P005,Watch,Fashion,951.47,3.0,1998.09,9.81,Mobile Money,26-35,Male,Cape Town,Emily Davis
TUS00062,2019-01-17,US,P003,TV,Electronics,1763.21,9.0,11108.22,36.41,Credit Card,56+,Female,Nairobi,Emily Davis
TUS00063,2018-08-21,US,P004,Shoes,Fashion,990.02,9.0,6237.13,22.99,Mobile Money,26-35,Female,Durban,Robert Brown
TUS00064,2016-12-12,US,P002,Phone,Electronics,803.05,7.0,3934.94,9.5,Mobile Money,18-25,Male,Johannesburg,John Doe
TUS00065,2021-09-01,US,P004,Shoes,Fashion,639.86,6.0,2687.41,14.06,Mobile Money,36-45,Male,Johannesburg,Robert Brown
TUS00066,2017-01-04,US,P004,Shoes,Fashion,1497.43,3.0,3144.6,29.64,Mobile Money,46-55,Male,Nairobi,John Doe
TUS00067,2015-02-06,US,P004,Shoes,Fashion,1059.01,6.0,4447.84,46.14,Cash,18-25,Female,Durban,Robert Brown
TUS00068,2020-01-26,US,P001,Laptop,Electronics,1891.9,4.0,5297.32,48.97,Mobile Money,46-55,Male,Cape Town,John Doe
TUS00069,2023-03-20,US,P004,Shoes,Fashion,,10.0,7653.38,40.33,Cash,26-35,Female,Johannesburg,Robert Brown
TUS00070,2015-05-16,US,P002,Phone,Electronics,1790.7,4.0,5013.96,3.76,Bank Transfer,56+,Male,Nairobi,Jane Smith
TUS00071,2024-09-13,US,P006,Bag,Fashion,855.4,9.0,5389.02,11.63,Cash,56+,Female,Nairobi,John Doe
TUS00072,2024-08-17,US,P005,Watch,Fashion,1663.5,3.0,3493.35,13.59,Bank Transfer,36-45,Female,Cape Town,John Doe
TUS00073,2015-11-19,US,P002,Phone,Electronics,1577.0,3.0,3311.7,15.52,Mobile Money,26-35,Male,Cape Town,Robert Brown
TUS00074,2016-04-24,US,P001,Laptop,Electronics,1232.63,10.0,8628.41,43.77,Cash,46-55,Male,Nairobi,John Doe
TUS00075,2024-06-26,US,P004,Shoes,Fashion,704.87,10.0,4934.09,34.82,Bank Transfer,26-35,Female,Johannesburg,Robert Brown
TUS00076,2015-06-06,US,P004,Shoes,Fashion,392.17,3.0,823.56,34.18,Cash,36-45,Female,Mombasa,Jane Smith
TUS00077,2016-08-27,US,P005,Watch,Fashion,747.88,4.0,2094.06,29.29,Mobile Money,26-35,Male,Johannesburg,John Doe
TUS00078,2021-06-03,US,P005,Watch,Fashion,180.01,5.0,630.03,43.58,Cash,26-35,Male,Johannesburg,John Doe
TUS00079,2017-05-25,US,P005,Watch,Fashion,1236.71,9.0,7791.27,7.69,Bank Transfer,36-45,Female,Nairobi,Jane Smith
TUS00080,2016-03-06,US,P006,Bag,Fashion,676.69,1.0,473.68,18.82,Cash,36-45,Female,Cape Town,Emily Davis
TUS00081,2020-11-25,US,P002,Phone,Electronics,1203.81,8.0,6741.34,36.67,Mobile Money,46-55,Female,,Robert Brown
TUS00082,2015-07-28,US,P001,Laptop,Electronics,1743.01,3.0,3660.32,4.98,Mobile Money,18-25,Male,Durban,Emily Davis
TUS00083,2015-09-30,US,P002,Phone,Electronics,1445.41,4.0,4047.15,24.89,Bank Transfer,18-25,Male,Durban,Robert Brown
TUS00084,2016-10-13,US,P001,Laptop,Electronics,41.92,8.0,234.75,2.74,Cash,56+,Male,Nairobi,Jane Smith
TUS00085,2019-12-05,US,P003,TV,Electronics,978.66,6.0,4110.37,32.41,Bank Transfer,18-25,Male,Johannesburg,Robert Brown
TUS00086,2020-05-07,US,P003,TV,Electronics,1405.71,10.0,9839.97,21.44,Credit Card,26-35,Female,Nairobi,Emily Davis
TUS00087,2018-02-10,US,P004,Shoes,Fashion,1040.92,9.0,6557.8,2.96,Bank Transfer,56+,Female,Mombasa,John Doe
TUS00088,2015-11-29,US,P006,Bag,Fashion,1816.66,6.0,7629.97,31.5,Mobile Money,18-25,Female,Durban,Jane Smith
TUS00089,2018-10-14,US,P005,Watch,Fashion,1218.81,8.0,6825.34,47.65,Bank Transfer,46-55,Female,Mombasa,Jane Smith
